description|puntos|price|variety|bodegas
If you love massive Argentine reds with purity of fruit and fine oak, then this blend is up your alley. Toasty blackberry aromas come with plenty of oak grain, vanilla and depth. This is profoundly deep on the palate, while toasty blackberry, chocolate and peppery flavors finish with mocha and bracing tannins that aren't too rocky or hard. Drink through 2025.|95|74.0|Cabernet Sauvignon-Malbec|Pascual Toso
Medium straw in the glass, this wine has a nose of pineapple and white melon. Soft on the palate, it offers flavors of grapefruit, papaya and rose. Lingering brightness on the finish is bolstered by a hint of pear.|87|14.0|Kangoun|Van Ardi
This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.|100|350.0|Muscat|Chambers Rosewood Vineyards
Candied lime and lemon zest are bathed in the rich honey notes of full-blown botrytis. This lifted scent is more than heady and continues intensely on the lusciously sweet palate. Candied quince and mandarin peel run circles round honeycomb and apricot jam which swirls around your brain like a psychedelic dream in all its apricot glory. There is something otherworldly about this wine, something ambrosial and decadent, made all the more so by its apparent weightlessness. What a triumph.|97|95.0|Scheurebe|Kracher
Toasted oak and cedar notes meld into lush, ripe black plums on the nose and palate of this fruit-forward, richly concentrated wine from Bosnia and Herzegovina. It's a straightforward, accessible wine, but well balanced with smooth tannins and a bright acidity|85|13.0|Vranec|Winery Čitluk
Pear, apple and wet-stone aromas are tight, while this blend of Chardonnay and Pinot Noir feels citrusy, high in acidity and chalky. Green apple and orange flavors finish stony and crisp.|88|36.0|Sparkling Blend|Cave Geisse
Deep ruby in color, this wine offers aromas of cherry, blackberry and tobacco. Generous and round in the mouth, it has flavors of black cherry and pipe tobacco with an evenly weighted balance of velvety tannins and bright acidity.|91|55.0|Red Blend|Bessa
Smooth as silk and deeply concentrated, this outstanding icewine offers pressed apple, peach, pear, apricot and papaya fruit in a seamless, dense and immensely flavorful core. A streak of butter and honey carries it into a long, splendid finish.|94|60.0|Riesling|Cave Spring
Dark, dense, spicy and full of everything nice, including cola, berry, earth and richness. The palate has ideal ripeness and power, and the flavors are a clever mix of light herbs, spice, chocolate and blasting berry. Long and sultry on the finish, with tobacco and immense complexity. One of Chile's very best wines; a blend of Syrah, Carmenère, Cabernet and Merlot.|94|92.0|Red Blend|Emiliana
This 100% Teran from Istria has aromas of blueberry, cherry, vanilla and a touch of dried Mediterranean herbs. It's full bodied in the mouth with flavors of black cherry, blueberry and tobacco leaf. The tannins are soft and rounded with a elegant finish.|91|33.0|Teran|Trapan
This Cretan indigenous white offers aromas of toast, lime and grapefruit with following g flavors pf peach, lemon and spice. The wine has seen oak but offers a brisk edge. Pair with poultry and light fish dishes.|89|21.0|Xynisteri|Tsiakkas
This red blend has a nose of fresh cherry, red plum and clove. In the mouth, it offers a combination of fruit and spice flavors featuring anise, black plum, Chinese five spice, and black cherry. There is a burst of still-youthful acidity on the finish, but this should be drunk within the next year or two.|89|45.0|Red Blend|Stapleton & Springer
Beautifully delineated fruit constitues the nose, with ripe, yellow plum playing alongside crisp, green apple. The palate layers a sonorous tone of sourdough bread with rich hints of yeast, green-apple briskness and gentle yellow plum. The notions unite with the fizzing, fine mousse. On the midpalate and the finish, the depth of this wine becomes clear: Profound and rich but in a totally slender, unassuming and convincing fashion. The finish is pure and lasting. Drink 2017–2027.|95|80.0|Sparkling Blend|Sugrue Pierre Ltd.
This is a fabulous wine from the greatest Champagne vintage so far this century. Still young, it blends almost equal amounts of Pinot Noir and Chardonnay fleshed out with Pinot Meunier. The minerality and the rich apple and green fruits are balanced, and acidity cuts into the wine with a pure, perfumed line of freshness. The wine could be drunk now, but it will age well into the the 2020s.|100|259.0|Champagne Blend|Krug
From it's musky, perfumed to nose to it's intensely honeyed, dried-peach- and apricot-flavored palate, everything about this wine is mysterious and ethereal. Crafted by monks in an ancient Georgian monastery, this amber-hued wine is made from white grapes that were fermented and aged in clay vessels (qvevri) and that underwent extended skin contact, which resulted in a wine with puckering tannins and a richly textural mouthfeel.|92|25.0|Rkatsiteli|Alaverdi Monastery Cellar
With layers upon layers of spicy saffron, peach, honey and caramel to be enjoyed on the nose alone, this heady botrytized Riesling is pure hedonism. The sweet-tart palate is deft and spry yet deeply lusciously penetrating in flavor. Spine-tingling acidity darts through a honeyed, waxy slick that extends the finish endlessly. It's already a heart-stopping wine but will continue to improve for decades to come.|98|775.0|Riesling|Robert Weil
Vanilla, citrus and white flowers on the nose lead this memorable white from mainland Greece. The overall character is linear and crisp, with lemon and limestone flavors interlaced with exotic fruits and rose. A wine with class and character that will offer diverse food pairing experiences.|93|16.0|Moschofilero|Dionysos
This ethereal Tokaji Aszú is golden in color, with aromas of delicate acacia flower, honeysuckle, fresh peach and tinned apricot. The flavors come alive on the palate, showing luscious apricot, floral honeycomb and fresh pear juice. The acidity is perfectly balanced to prevent this delightful wine from being too cloying.|97|80.0|White Blend|Royal Tokaji
The nose carries notes of cassis, blackberry and bell pepper. An approachable, yet complex wine, the palate shows flavors of black cherry, bacon, black pepper, vanilla and espresso bean. Rich tannins linger without burdening the taste buds. Pleasant notes of smoke and salt linger on the finish.|93|20.0|Shiraz|Sula
Inky ruby in the glass, this Bordeaux-style blend has aromas of caramel and anise that all but hide a whiff of cherry. On the tastebuds black cherry is the predominant flavor, backed by a mouth-pleasing chorus of allspice, violet, custard and mint. Grippy tannins coat the mouth yet touches of fruit remain strong on the post-palate.|93|80.0|Red Blend|Domaine du Castel
This gorgeous, fragrant wine opens with classic Sangiovese scents of violet, rose, perfumed red berry, new leather and a whiff of baking spice. The elegant, radiant palate delivers crushed Marasca cherry, ripe strawberry, cinnamon, black tea and a hint of pipe tobacco. Firm, ultrafine tannins and bright acidity offer an age-worthy structure and impeccable balance. It's already stunning but will evolve for decades. Drink 2020–2050.|100|550.0|Sangiovese|Biondi Santi
Violet red to the eye, this wine is a blend of 55% Syrah, 35% Cabernet Sauvignon and 10% Merlot. A nose of black cherry and violet prepares the palate for flavors of cassis, cherry conserves, orange zest, licorice and tobacco. Fruit and spice flavors keep each other in check amid velvety tannins. The smooth cherry finish is highlighted by touches of orange zest.|91|75.0|Red Blend|Ixsir
This non vintage white blend is composed of 50% Auxerrois, 40% Pinot Blanc, and 10% Pinot Gris. It has green apple and lemon pith aromas, lemon curd, apple juice and pastry flavors and a creamy finish.|89|16.0|White Blend|Domaines Vinsmoselle
This 100% Vranec presents the nose with black plum, blackberry, tobacco leaf and saddle leather and the palate with blueberry, dried herbs, tobacco and red plums. The finish is soft and elegant.|89|20.0|Vranec|Stobi
A world-class wine regardless of origin, this Cabernet Sauvignon, Merlot, Tempranillo and Zinfandel blend is as full as they come, with alluring black cherry, cola and graphite aromas. The mouthfeel is smooth and rich, with a wave of cola, molasses and chocolate along with black cherry and blackberry. Sweet, dark, smoky and long on the finish. Drink now–2014.|92|54.0|Red Blend|Viñas de Garza
Bright ruby in the glass, this wine is a blend of the Bastardo grape with indigenous varieties Saperavi and Rara Neagra. It offers a fruit-forward bouquet of cherry and blackberry. On the palate, flavors of freshly picked plum and black cherry with a touch of green pepper are sheathed in a lattice of supple tannins.|91|25.0|Red Blend|Purcari
Aromas of black cherry, espresso bean and white chocolate tease the palate in this Moroccan blend of 60% Cabernet Sauvignon, 30% Merlot and 10% Syrah. Brightness reigns despite powerful tannins, and flavors of black cherry, rhubarb, jalapeño, coriander seed, vanilla and citrus zest are a pleasure on the tongue.|93|18.0|Red Blend|Ouled Thaleb
The 2014 Coleraine is a blend of 60% Cabernet Sauvignon, 28% Merlot and 12% Cabernet Franc. Some herbal, cabbagey notes blow off with air to reveal vanilla, cedar, cassis, blackberry and mocha. Full bodied and plush, this wine is soft enough to drink now, but could probably go 20-plus years.|94|85.0|Bordeaux-style Red Blend|Te Mata
Earthy, warm and ripe on the bouquet, with a baked element but also fruit that holds its form. Full but not overdone in the mouth, with restrained berry, plum and caramel flavors. Not pushy; subdued on the finish. Petit Verdot, Malbec and Tannat.|86|20.0|Red Blend|Tacama
This is the latest release of what has long been regarded as Portugal's iconic wine. And it is magnificent. The last vintage was the 2004 and the wait has now shown to be worthwhile. With its immense span and breadth of flavors and rich structure it is a superb manifestation of the great vineyards of the Douro Superior. Big bold fruits and acidity are matched by the tannins and concentration. Hold this for many years or at least wait until 2022.|100|450.0|Portuguese Red|Casa Ferreirinha
This late harvest Sauvignon Blanc is honey gold in color, with tantalizing aromas of honeysuckle, white flowers and lanolin. It is generous on the palate, with flavors of apricot and tinned peaches supported by floral notes. Its sweetness is enhanced by a pleasing level of acidity on the finish.|92|28.0|Sauvignon Blanc|Cramele Recas
